a,b,statistic,p_raw,p_holm
astar,mcts,0.0,1.2955877179207427e-41,1.1660289461286683e-40
astar,mo_mcts,0.0,1.2955877179207427e-41,1.1660289461286683e-40
astar,two_phase_mcts,0.0,6.083559849691438e-51,9.125339774537157e-50
astar,two_phase_momcts,2328.0,9.587434399310522e-41,3.834973759724209e-40
astar,astar_mcts,0.0,4.0152171718055117e-41,2.007608585902756e-40
mcts,mo_mcts,0.0,1.1197003099219983e-12,1.1197003099219983e-12
mcts,two_phase_mcts,88.0,1.4677051797344168e-50,1.6144756977078585e-49
mcts,two_phase_momcts,6623.0,1.2345433862311476e-25,3.7036301586934427e-25
mcts,astar_mcts,0.0,1.2955877179207427e-41,1.1660289461286683e-40
mo_mcts,two_phase_mcts,49.0,9.938318223080042e-51,1.192598186769605e-49
mo_mcts,two_phase_momcts,7071.0,2.8765218098837207e-24,5.7530436197674415e-24
mo_mcts,astar_mcts,0.0,1.2955877179207427e-41,1.1660289461286683e-40
two_phase_mcts,two_phase_momcts,0.0,6.083559849691438e-51,9.125339774537157e-50
two_phase_mcts,astar_mcts,0.0,6.083559849691438e-51,9.125339774537157e-50
two_phase_momcts,astar_mcts,0.0,1.883216264560049e-50,1.883216264560049e-49
