a,b,statistic,p_raw,p_holm
mcts/cap10,mcts/cap100,0.0,1.0,1.0
mcts/cap10,mcts/cap20,0.0,1.0,1.0
mcts/cap10,mcts/cap50,0.0,1.0,1.0
mcts/cap10,mo_mcts/cap10,0.0,3.148719442428699e-24,8.816414438800358e-23
mcts/cap10,mo_mcts/cap100,0.0,3.148719442428699e-24,8.816414438800358e-23
mcts/cap10,mo_mcts/cap20,0.0,3.148719442428699e-24,8.816414438800358e-23
mcts/cap10,mo_mcts/cap50,0.0,3.148719442428699e-24,8.816414438800358e-23
mcts/cap100,mcts/cap20,0.0,1.0,1.0
mcts/cap100,mcts/cap50,0.0,1.0,1.0
mcts/cap100,mo_mcts/cap10,0.0,3.148719442428699e-24,8.816414438800358e-23
mcts/cap100,mo_mcts/cap100,0.0,3.148719442428699e-24,8.816414438800358e-23
mcts/cap100,mo_mcts/cap20,0.0,3.148719442428699e-24,8.816414438800358e-23
mcts/cap100,mo_mcts/cap50,0.0,3.148719442428699e-24,8.816414438800358e-23
mcts/cap20,mcts/cap50,0.0,1.0,1.0
mcts/cap20,mo_mcts/cap10,0.0,3.148719442428699e-24,8.816414438800358e-23
mcts/cap20,mo_mcts/cap100,0.0,3.148719442428699e-24,8.816414438800358e-23
mcts/cap20,mo_mcts/cap20,0.0,3.148719442428699e-24,8.816414438800358e-23
mcts/cap20,mo_mcts/cap50,0.0,3.148719442428699e-24,8.816414438800358e-23
mcts/cap50,mo_mcts/cap10,0.0,3.148719442428699e-24,8.816414438800358e-23
mcts/cap50,mo_mcts/cap100,0.0,3.148719442428699e-24,8.816414438800358e-23
mcts/cap50,mo_mcts/cap20,0.0,3.148719442428699e-24,8.816414438800358e-23
mcts/cap50,mo_mcts/cap50,0.0,3.148719442428699e-24,8.816414438800358e-23
mo_mcts/cap10,mo_mcts/cap100,0.0,1.0,1.0
mo_mcts/cap10,mo_mcts/cap20,0.0,1.0,1.0
mo_mcts/cap10,mo_mcts/cap50,0.0,1.0,1.0
mo_mcts/cap100,mo_mcts/cap20,0.0,1.0,1.0
mo_mcts/cap100,mo_mcts/cap50,0.0,1.0,1.0
mo_mcts/cap20,mo_mcts/cap50,0.0,1.0,1.0
