a,b,statistic,p_raw,p_holm
mcts/C1.0_a0.5,mcts/C1.5_a0.3,18779.0,0.011591026748603357,0.03477308024581007
mcts/C1.0_a0.5,mcts/C1.5_a0.5,2018.0,1.5235489893378558e-42,3.504162675477068e-41
mcts/C1.0_a0.5,mcts/C1.5_a0.7,3.0,6.269332341784468e-51,2.737601932361147e-49
mcts/C1.0_a0.5,mcts/C2.0_a0.5,117.0,1.960465958364762e-50,6.6655842584401904e-49
mcts/C1.0_a0.5,mo_mcts/C1.0_a0.5,0.0,1.3128610014438802e-20,9.190027010107161e-20
mcts/C1.0_a0.5,mo_mcts/C1.5_a0.3,17074.0,0.00025400358834015176,0.001016014353360607
mcts/C1.0_a0.5,mo_mcts/C1.5_a0.5,1302.0,1.959006145964418e-45,4.897515364911045e-44
mcts/C1.0_a0.5,mo_mcts/C1.5_a0.7,1.0,6.144866877758197e-51,2.737601932361147e-49
mcts/C1.0_a0.5,mo_mcts/C2.0_a0.5,75.0,1.2889295116733116e-50,4.7690391931912526e-49
mcts/C1.5_a0.3,mcts/C1.5_a0.5,3235.0,7.44270196414473e-38,1.4141133731874988e-36
mcts/C1.5_a0.3,mcts/C1.5_a0.7,1.0,6.144866877758197e-51,2.737601932361147e-49
mcts/C1.5_a0.3,mcts/C2.0_a0.5,290.0,1.0939711494377611e-49,3.063119218425731e-48
mcts/C1.5_a0.3,mo_mcts/C1.0_a0.5,20523.0,0.1723822639655851,0.1723822639655851
mcts/C1.5_a0.3,mo_mcts/C1.5_a0.3,0.0,2.029467500049271e-22,1.6235740000394169e-21
mcts/C1.5_a0.3,mo_mcts/C1.5_a0.5,2062.0,2.2767204738916716e-42,5.008785042561678e-41
mcts/C1.5_a0.3,mo_mcts/C1.5_a0.7,0.0,6.083559849691438e-51,2.737601932361147e-49
mcts/C1.5_a0.3,mo_mcts/C2.0_a0.5,144.0,2.5660484039622963e-50,8.38400319732595e-49
mcts/C1.5_a0.5,mcts/C1.5_a0.7,214.0,5.14877717919826e-50,1.4931453819674953e-48
mcts/C1.5_a0.5,mcts/C2.0_a0.5,4969.0,1.1589133745486733e-31,1.390696049458408e-30
mcts/C1.5_a0.5,mo_mcts/C1.0_a0.5,2509.0,1.2841966166202073e-40,2.6968128949024353e-39
mcts/C1.5_a0.5,mo_mcts/C1.5_a0.3,3854.0,1.4064094220825696e-35,2.2502550753321113e-34
mcts/C1.5_a0.5,mo_mcts/C1.5_a0.5,0.0,3.148719442428699e-24,2.833847498185829e-23
mcts/C1.5_a0.5,mo_mcts/C1.5_a0.7,89.0,1.4824385257202157e-50,5.3367786925927764e-49
mcts/C1.5_a0.5,mo_mcts/C2.0_a0.5,4095.0,1.0342171912469611e-34,1.5513257868704418e-33
mcts/C1.5_a0.7,mcts/C2.0_a0.5,4302.0,5.623649476511895e-34,7.873109267116653e-33
mcts/C1.5_a0.7,mo_mcts/C1.0_a0.5,4.0,6.332503125761852e-51,2.737601932361147e-49
mcts/C1.5_a0.7,mo_mcts/C1.5_a0.3,1.0,6.144866877758197e-51,2.737601932361147e-49
mcts/C1.5_a0.7,mo_mcts/C1.5_a0.5,296.0,1.1609097134130943e-49,3.1344562262153545e-48
mcts/C1.5_a0.7,mo_mcts/C1.5_a0.7,0.0,7.64105456650688e-13,3.82052728325344e-12
mcts/C1.5_a0.7,mo_mcts/C2.0_a0.5,4716.0,1.5714647717549692e-32,2.04290420328146e-31
mcts/C2.0_a0.5,mo_mcts/C1.0_a0.5,143.0,2.540607029492712e-50,8.38400319732595e-49
mcts/C2.0_a0.5,mo_mcts/C1.5_a0.3,371.0,2.4357059826598403e-49,6.332835554915585e-48
mcts/C2.0_a0.5,mo_mcts/C1.5_a0.5,5961.0,2.2319916372339525e-28,2.2319916372339524e-27
mcts/C2.0_a0.5,mo_mcts/C1.5_a0.7,3430.0,3.95128099251283e-37,7.112305786523094e-36
mcts/C2.0_a0.5,mo_mcts/C2.0_a0.5,0.0,1.8229684908388888e-18,1.0937810945033334e-17
mo_mcts/C1.0_a0.5,mo_mcts/C1.5_a0.3,18864.0,0.013593437519842447,0.03477308024581007
mo_mcts/C1.0_a0.5,mo_mcts/C1.5_a0.5,1706.0,8.614155520466292e-44,2.06739732491191e-42
mo_mcts/C1.0_a0.5,mo_mcts/C1.5_a0.7,3.0,6.269332341784468e-51,2.737601932361147e-49
mo_mcts/C1.0_a0.5,mo_mcts/C2.0_a0.5,90.0,1.4973191109909236e-50,5.3367786925927764e-49
mo_mcts/C1.5_a0.3,mo_mcts/C1.5_a0.5,2603.0,2.9652492925784807e-40,5.930498585156961e-39
mo_mcts/C1.5_a0.3,mo_mcts/C1.5_a0.7,0.0,6.083559849691438e-51,2.737601932361147e-49
mo_mcts/C1.5_a0.3,mo_mcts/C2.0_a0.5,190.0,4.0561703853284095e-50,1.2168511155985228e-48
mo_mcts/C1.5_a0.5,mo_mcts/C1.5_a0.7,151.0,2.751382259722265e-50,8.529285005139022e-49
mo_mcts/C1.5_a0.5,mo_mcts/C2.0_a0.5,4994.0,1.4097233254147846e-31,1.550695657956263e-30
mo_mcts/C1.5_a0.7,mo_mcts/C2.0_a0.5,3779.0,7.519559999466125e-36,1.2783251999092413e-34
