a,b,statistic,p_raw,p_holm
mcts/distance_weight,mcts/light,21170.0,0.3501330944453527,1.0
mcts/distance_weight,mcts/square,17060.0,0.0002449343272687939,0.002449343272687939
mcts/distance_weight,mo_mcts/distance_weight,0.0,2.803208638992355e-20,3.6441712306900614e-19
mcts/distance_weight,mo_mcts/light,21416.0,0.44086100807489126,1.0
mcts/distance_weight,mo_mcts/square,20569.0,0.1822042503374942,0.9110212516874711
mcts/light,mcts/square,18481.0,0.0064784551827854735,0.058306096645069264
mcts/light,mo_mcts/distance_weight,19002.0,0.017498585319263387,0.1224900972348437
mcts/light,mo_mcts/light,0.0,3.148719442428699e-24,4.408207219400179e-23
mcts/light,mo_mcts/square,22236.0,0.8216397296677787,1.0
mcts/square,mo_mcts/distance_weight,15183.0,8.846017299971635e-07,1.0615220759965962e-05
mcts/square,mo_mcts/light,16313.0,3.123674721941002e-05,0.0003436042194135102
mcts/square,mo_mcts/square,0.0,3.5900740754144804e-28,5.38511111312172e-27
mo_mcts/distance_weight,mo_mcts/light,21540.0,0.4912767637262172,1.0
mo_mcts/distance_weight,mo_mcts/square,18529.0,0.007132199970879482,0.058306096645069264
mo_mcts/light,mo_mcts/square,19840.0,0.06894393312414042,0.4136635987448425
