a,b,statistic,p_raw,p_holm
mcts/aega,mcts/cd,8111.0,6.671801898440182e-22,2.668720759376073e-21
mcts/aega,mcts/hv,7772.0,7.271582201747274e-23,3.635791100873637e-22
mcts/aega,mcts/ucb,2546.0,1.7860148000895697e-40,1.607413320080613e-39
mcts/aega,mo_mcts/hv,6585.0,2.0832949021125984e-26,1.4583064314788189e-25
mcts/aega,mo_mcts/ucb,3357.0,2.1192155021924907e-37,1.6953724017539925e-36
mcts/cd,mcts/hv,21278.0,0.3884065537965651,0.7768131075931302
mcts/cd,mcts/ucb,262.0,8.289903946233857e-50,1.16058655247274e-48
mcts/cd,mo_mcts/hv,21994.0,0.699224480429878,0.7768131075931302
mcts/cd,mo_mcts/ucb,334.0,1.6904081563597145e-49,1.859448971995686e-48
mcts/hv,mcts/ucb,266.0,8.625151444818343e-50,1.16058655247274e-48
mcts/hv,mo_mcts/hv,0.0,8.33039747348591e-18,2.4991192420457726e-17
mcts/hv,mo_mcts/ucb,398.0,3.1784771088967164e-49,3.1784771088967163e-48
mcts/ucb,mo_mcts/hv,209.0,4.899281189140096e-50,7.348921783710145e-49
mcts/ucb,mo_mcts/ucb,0.0,3.148719442428699e-24,1.8892316654572194e-23
mo_mcts/hv,mo_mcts/ucb,309.0,1.3202578125487517e-49,1.584309375058502e-48
